GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0400000US06,06,California,9500000US0627180,0627180,"California - SCHOOL DISTRICT, ELEMENTARY - Newhall Elementary School District",Newhall Elementary School District,89.4,3.3
0400000US06,06,California,9500000US0627810,0627810,"California - SCHOOL DISTRICT, ELEMENTARY - Oak Grove Elementary School District",Oak Grove Elementary School District,95.8,1.4
0400000US06,06,California,9500000US0628140,0628140,"California - SCHOOL DISTRICT, ELEMENTARY - Ocean View Elementary School District (Orange County)",Ocean View Elementary School District (Orange County),86.7,3.5
0400000US06,06,California,9500000US0628470,0628470,"California - SCHOOL DISTRICT, ELEMENTARY - Ontario-Montclair School District",Ontario-Montclair School District,84.4,2.4
0400000US06,06,California,9500000US0629220,0629220,"California - SCHOOL DISTRICT, ELEMENTARY - Oxnard Elementary School District",Oxnard Elementary School District,86.1,3.0
0400000US06,06,California,9500000US0629580,0629580,"California - SCHOOL DISTRICT, ELEMENTARY - Palmdale Elementary School District",Palmdale Elementary School District,89.8,2.0
0400000US06,06,California,9500000US0630990,0630990,"California - SCHOOL DISTRICT, ELEMENTARY - Pleasant Valley Elementary School District",Pleasant Valley Elementary School District,92.5,2.7
0400000US06,06,California,9500000US0632130,0632130,"California - SCHOOL DISTRICT, ELEMENTARY - Redwood City Elementary School District",Redwood City Elementary School District,91.8,2.6
0400000US06,06,California,9500000US0633600,0633600,"California - SCHOOL DISTRICT, ELEMENTARY - Roseville City Elementary School District",Roseville City Elementary School District,88.7,2.7
0400000US06,06,California,9500000US0633930,0633930,"California - SCHOOL DISTRICT, ELEMENTARY - Salinas City Elementary School District",Salinas City Elementary School District,86.7,3.1
0400000US06,06,California,9500000US0634920,0634920,"California - SCHOOL DISTRICT, ELEMENTARY - San Mateo-Foster City Elementary School District",San Mateo-Foster City Elementary School District,92.2,1.8
0400000US06,06,California,9500000US0635590,0635590,"California - SCHOOL DISTRICT, ELEMENTARY - Santa Cruz City Elementary School District",Santa Cruz City Elementary School District,90.0,4.1
0400000US06,06,California,9500000US0635810,0635810,"California - SCHOOL DISTRICT, ELEMENTARY - Santa Rosa Elementary School District",Santa Rosa Elementary School District,87.4,4.0
0400000US06,06,California,9500000US0635970,0635970,"California - SCHOOL DISTRICT, ELEMENTARY - Saugus Union Elementary School District",Saugus Union Elementary School District,95.7,1.8
0400000US06,06,California,9500000US0637380,0637380,"California - SCHOOL DISTRICT, ELEMENTARY - South Bay Union School District",South Bay Union School District,81.4,4.3
0400000US06,06,California,9500000US0638220,0638220,"California - SCHOOL DISTRICT, ELEMENTARY - Sulphur Springs Union Elementary School District",Sulphur Springs Union Elementary School District,95.2,2.1
0400000US06,06,California,9500000US0638460,0638460,"California - SCHOOL DISTRICT, ELEMENTARY - Sunnyvale Elementary School District",Sunnyvale Elementary School District,91.4,3.3
0400000US06,06,California,9500000US0638670,0638670,"California - SCHOOL DISTRICT, ELEMENTARY - Sylvan Union Elementary School District",Sylvan Union Elementary School District,90.3,3.5
0400000US06,06,California,9500000US0639870,0639870,"California - SCHOOL DISTRICT, ELEMENTARY - Tulare City Elementary School District",Tulare City Elementary School District,77.3,5.5
0400000US06,06,California,9500000US0641040,0641040,"California - SCHOOL DISTRICT, ELEMENTARY - Victor Elementary School District",Victor Elementary School District,89.1,4.3
0400000US06,06,California,9500000US0642120,0642120,"California - SCHOOL DISTRICT, ELEMENTARY - Westside Union Elementary School District",Westside Union Elementary School District,90.2,2.8
0400000US06,06,California,9500000US0642150,0642150,"California - SCHOOL DISTRICT, ELEMENTARY - Westminster School District",Westminster School District,85.9,4.0
0400000US06,06,California,9500000US0642450,0642450,"California - SCHOOL DISTRICT, ELEMENTARY - Whittier City Elementary School District",Whittier City Elementary School District,81.7,3.6
0400000US06,06,California,9600000US0601650,0601650,"California - SCHOOL DISTRICT, SECONDARY - Acalanes Union High School District",Acalanes Union High School District,93.0,2.0
0400000US06,06,California,9600000US0602630,0602630,"California - SCHOOL DISTRICT, SECONDARY - Anaheim Union High School District",Anaheim Union High School District,87.7,1.7
0400000US06,06,California,9600000US0602820,0602820,"California - SCHOOL DISTRICT, SECONDARY - Antelope Valley Union Joint High School District",Antelope Valley Union Joint High School District,84.5,1.8
0400000US06,06,California,9600000US0606019,0606019,"California - SCHOOL DISTRICT, SECONDARY - Santa Barbara Unified School District (7-12)",Santa Barbara Unified School District (7-12),88.9,2.6
0400000US06,06,California,9600000US0606034,0606034,"California - SCHOOL DISTRICT, SECONDARY - Perris Union High School District in Menifee (9-12)",Perris Union High School District in Menifee (9-12),90.5,2.8
0400000US06,06,California,9600000US0607230,0607230,"California - SCHOOL DISTRICT, SECONDARY - Campbell Union High School District",Campbell Union High School District,90.7,2.1
0400000US06,06,California,9600000US0607920,0607920,"California - SCHOOL DISTRICT, SECONDARY - Centinela Valley Union High School District",Centinela Valley Union High School District,84.7,2.7
0400000US06,06,California,9600000US0608160,0608160,"California - SCHOOL DISTRICT, SECONDARY - Chaffey Joint Union High School District",Chaffey Joint Union High School District,89.9,1.4
0400000US06,06,California,9600000US0610860,0610860,"California - SCHOOL DISTRICT, SECONDARY - Delano Joint Union High School District",Delano Joint Union High School District,60.1,6.9
0400000US06,06,California,9600000US0611820,0611820,"California - SCHOOL DISTRICT, SECONDARY - East Side Union High School District",East Side Union High School District,92.2,1.0
0400000US06,06,California,9600000US0612070,0612070,"California - SCHOOL DISTRICT, SECONDARY - El Dorado Union High School District",El Dorado Union High School District,86.3,3.0
0400000US06,06,California,9600000US0612120,0612120,"California - SCHOOL DISTRICT, SECONDARY - El Monte Union High School District",El Monte Union High School District,77.8,2.7
0400000US06,06,California,9600000US0612910,0612910,"California - SCHOOL DISTRICT, SECONDARY - Escondido Union High School District",Escondido Union High School District,88.0,2.3
0400000US06,06,California,9600000US0613530,0613530,"California - SCHOOL DISTRICT, SECONDARY - Fallbrook Union High School District",Fallbrook Union High School District,80.3,5.1
0400000US06,06,California,9600000US0614430,0614430,"California - SCHOOL DISTRICT, SECONDARY - Fremont Union High School District",Fremont Union High School District,93.0,1.8
0400000US06,06,California,9600000US0614760,0614760,"California - SCHOOL DISTRICT, SECONDARY - Fullerton Joint Union High School District",Fullerton Joint Union High School District,90.8,1.4
0400000US06,06,California,9600000US0616230,0616230,"California - SCHOOL DISTRICT, SECONDARY - Grossmont Union High School District",Grossmont Union High School District,90.6,1.2
0400000US06,06,California,9600000US0616500,0616500,"California - SCHOOL DISTRICT, SECONDARY - Hanford Joint Union High School District",Hanford Joint Union High School District,82.1,5.1
0400000US06,06,California,9600000US0618060,0618060,"California - SCHOOL DISTRICT, SECONDARY - Huntington Beach Union High School District",Huntington Beach Union High School District,88.1,1.6
0400000US06,06,California,9600000US0618930,0618930,"California - SCHOOL DISTRICT, SECONDARY - Jefferson Union High School District",Jefferson Union High School District,89.8,2.3
0400000US06,06,California,9600000US0619540,0619540,"California - SCHOOL DISTRICT, SECONDARY - Kern High School District",Kern High School District,82.4,1.7
0400000US06,06,California,9600000US0621600,0621600,"California - SCHOOL DISTRICT, SECONDARY - Liberty Union High School District",Liberty Union High School District,94.4,2.1
0400000US06,06,California,9600000US0624660,0624660,"California - SCHOOL DISTRICT, SECONDARY - Merced Union High School District",Merced Union High School District,88.1,2.1
0400000US06,06,California,9600000US0625150,0625150,"California - SCHOOL DISTRICT, SECONDARY - Modesto City High School District",Modesto City High School District,86.6,1.7
0400000US06,06,California,9600000US0626310,0626310,"California - SCHOOL DISTRICT, SECONDARY - Mountain View-Los Altos Union School District",Mountain View-Los Altos Union School District,93.9,1.8
0400000US06,06,California,9600000US0626880,0626880,"California - SCHOOL DISTRICT, SECONDARY - Nevada Joint Union High School District",Nevada Joint Union High School District,83.8,4.1
